1200,1205,1209,1215,1218,1223,1227,,,,1200,1205,1209,1215,1218,1223,1227,,,
1198,1203,1208,1214,1219,1225,1235,,,,1198,1203,1208,1214,1219,1225,1235,,,
1195,1201,1207,1213,1218,1224,1230,,,,1195,1201,1207,1213,1218,1224,1230,,,
1193,1199,1206,1212,1218,1222,1225,1215,1208,1203,1193,1199,1206,1212,1218,1222,1225,1215,1208,1203
1192,1198,1204,1212,1220,1220,1217,1211,1206,1201,1192,1198,1204,1212,1220,1220,1217,1211,1206,1201
1188,1195,1202,1210,1210,1212,1211,1208,1204,1200,1188,1195,1202,1210,1210,1212,1211,1208,1204,1200
1184,1191,1199,1210,1208,1208,1207,1205,1201,1198,1184,1191,1199,1210,1208,1208,1207,1205,1201,1198
1180,1187,1194,1201,1204,1205,1205,1203,1197,1193,1180,1187,1194,1201,1204,1205,1205,1203,1197,1193
1178,1184,1190,1196,1200,1204,1206,1204,1200,1197,1178,1184,1190,1196,1200,1204,1206,1204,1200,1197
1176,1180,1185,1193,1198,1203,1210,1208,1203,1200,1176,1180,1185,1193,1198,1203,1210,1208,1203,1200
1200,1205,1209,1215,1218,1223,1227,,,,1200,1205,1209,1215,1218,1223,1227,,,
1198,1203,1208,1214,1219,1225,1235,,,,1198,1203,1208,1214,1219,1225,1235,,,
1195,1201,1207,1213,1218,1224,1230,,,,1195,1201,1207,1213,1218,1224,1230,,,
1193,1199,1206,1212,1218,1222,1225,1215,1208,1203,1193,1199,1206,1212,1218,1222,1225,1215,1208,1203
1192,1198,1204,1212,1220,1220,1217,1211,1206,1201,1192,1198,1204,1212,1220,1220,1217,1211,1206,1201
1188,1195,1202,1210,1210,1212,1211,1208,1204,1200,1188,1195,1202,1210,1210,1212,1211,1208,1204,1200
1184,1191,1199,1210,1208,1208,1207,1205,1201,1198,1184,1191,1199,1210,1208,1208,1207,1205,1201,1198
1180,1187,1194,1201,1204,1205,1205,1203,1197,1193,1180,1187,1194,1201,1204,1205,1205,1203,1197,1193
1178,1184,1190,1196,1200,1204,1206,1204,1200,1197,1178,1184,1190,1196,1200,1204,1206,1204,1200,1197
1176,1180,1185,1193,1198,1203,1210,1208,1203,1200,1176,1180,1185,1193,1198,1203,1210,1208,1203,1200
