1190,1196,1195,1206,1216,1219,1223,1220,1215,1220
1182,1192,1195,1203,1214,1220,1232,1225,1225,1225
1180,1185,1188,1196,1213,1222,1228,1230,1215,1210
1184,1183,1191,1198,1215,1220,1223,1213,1203,1199
1183,1187,1186,1195,1206,1202,1203,1195,1186,1193
1178,1182,1192,1193,1200,1202,1194,1200,1197,1189
1167,1176,1189,1203,1192,1199,1197,1189,1183,1188
1171,1171,1180,1188,1196,1197,1192,1189,1185,1183
1165,1170,1176,1182,1182,1194,1195,1192,1189,1186
1163,1166,1169,1181,1186,1190,1196,1191,1193,1186
